NUM	SMOL RUNICODE	ALT DESCRIPTION	"LANG FAMILY
"	UNICODE	"HTML ENTITIES

"
0001	≡	User Elementary Layer [technical term]	Wellish	U+2261	"&equiv;"
0002	[@]	Homo Socios Oeconomicus [theological term, Origin of Species classified by Jens T. Hinrichs]	Wellish		"&lsqb;&commat;&rsqb;"
0003	[@]_❘_	Homo Android Erectus [theological term, Origin of Species classified by Jens T. Hinrichs]	Wellish		"&lsqb;&commat;&rsqb;&lowbar;&VerticalSeparator;&lowbar;"
0004	_/[@]\_	Homo Fragilus Immutabilis [theological term, Origin of Species classified by Jens T. Hinrichs]	Wellish		"&lowbar;&sol;&lsqb;&commat;&rsqb;&bsol;&lowbar;"
0005	R://Ω	Resistance of the Internet [theoretical term - derived measure of acceptance (R= UGC ⁄ Number of Interaction) in the Interaction Theory by Jens T. Hinrichs]	Wellish		"R&colon;&sol;&sol;&ohm;"
0006	E://mcn	"Expansion of the Internet [theoretical term – derived measure of evolution; E= (Mass of Expression multiplied by Content) expotentiated with n unknowns in the Interaction Theory by Jens T. Hinrichs]"	Wellish		"E&colon;&sol;&sol;mc<sup>n</sup>"
0007	@_❘_	mention [plural term]	Wellish		"&commat;&lowbar;&VerticalSeparator;&lowbar;"
0008	[ ]	solution cell, empty [variant notation to a SMOL runicode]	Ideogrammar		"&lsqb; &rsqb;"
0009	 =[ ]=	ambiguous solution cell, empty [synonymous translation to a SMOL runicode]	Ideogrammar		"&equals;&lsqb; &rsqb;&equals;"
0010	≡[ ]≡	trivalence solution cell, empty [acronymous translation to a SMOL runicode]	Ideogrammar		"&equiv;&lsqb; &rsqb;&equiv;"
0011	†	request to send by a person	Ideogrammar	U+2020	"&dagger;"
0012	!¯	request to send by a person [traffic sign]	NewMorse+		"&excl;&macr;"
0013	‡	request to send by a station	Ideogrammar	U+2021	"&ddagger;"
0014	!¦˙	request to send by a station [traffic sign]	NewMorse+		"&excl;&brvbar;&dot;"
0015	¡	small letter a	NewMorse+	U+00A1	"&iexcl;"
0016	!:	small letter b	NewMorse+		"&excl;&colon;"
0017	!!	small letter c	NewMorse+		"&excl;&excl;"
0018	!˙	small letter d	NewMorse+		"&excl;&dot;"
0019	.	small letter e	NewMorse+	U+002E	"&period;"
0020	:!	small letter f	NewMorse+		"&colon;&excl;"
0021	∣!	small letter g	NewMorse+		"&smid;;&excl;"
0022	::	small letter h	NewMorse+		"&colon;&colon;"
0023	:	small letter i	NewMorse+	U+003A	"&colon;"
0024	¡¦	small letter j	NewMorse+		"&iexcl;&brvbar;"
0025	!∣	small letter k	NewMorse+		"&excl;&smid;"
0026	¡:	small letter l	NewMorse+		"&iexcl;&colon;"
